route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
1_210,1_931_200_9_210_2,1_14526_931,,0,1_210_I
1_206,1_932_223_9_206_3,1_15108_932,,1,1_206_V
1_206,1_932_223_9_206_3,1_15109_932,,1,1_206_V
1_206,1_932_223_9_206_3,1_15110_932,,1,1_206_V
1_206,1_932_223_9_206_3,1_15111_932,,1,1_206_V
1_206,1_932_223_9_206_3,1_15112_932,,1,1_206_V
1_206,1_932_223_9_206_3,1_15113_932,,1,1_206_V
1_206,1_932_223_9_206_3,1_15114_932,,1,1_206_V
1_206,1_932_223_9_206_3,1_15115_932,,1,1_206_V
1_206,1_932_223_9_206_3,1_15116_932,,1,1_206_V
1_206,1_932_223_9_206_3,1_15119_932,,0,1_206_I
1_206,1_932_223_9_206_3,1_15120_932,,0,1_206_I
1_206,1_932_223_9_206_3,1_15121_932,,0,1_206_I
1_206,1_932_223_9_206_3,1_15122_932,,0,1_206_I
1_206,1_932_223_9_206_3,1_15123_932,,0,1_206_I
1_206,1_932_223_9_206_3,1_15124_932,,0,1_206_I
1_206,1_932_223_9_206_3,1_15125_932,,0,1_206_I
1_206,1_932_223_9_206_3,1_15126_932,,0,1_206_I
1_206,1_932_223_9_206_3,1_15132_932,,0,1_206_I
1_206,1_932_223_9_206_3,1_15135_932,,0,1_206_I
1_302,1_923_231_13_302_2,1_15304_923,,1,1_302_V
1_302,1_923_231_13_302_2,1_15305_923,,1,1_302_V
1_302,1_923_231_13_302_2,1_15306_923,,1,1_302_V
1_302,1_923_231_13_302_2,1_15307_923,,1,1_302_V
1_302,1_923_231_13_302_2,1_15308_923,,1,1_302_V
1_302,1_923_231_13_302_2,1_15309_923,,1,1_302_V
1_302,1_923_231_13_302_2,1_15310_923,,1,1_302_V
1_302,1_923_231_13_302_2,1_15311_923,,1,1_302_V
1_302,1_923_231_13_302_2,1_15312_923,,1,1_302_V
1_302,1_923_231_13_302_2,1_15313_923,,1,1_302_V
1_302,1_923_231_13_302_2,1_15314_923,,1,1_302_V
1_302,1_923_231_13_302_2,1_15315_923,,1,1_302_V
1_302,1_923_231_13_302_2,1_15316_923,,0,1_302_I
1_302,1_923_231_13_302_2,1_15317_923,,0,1_302_I
1_302,1_923_231_13_302_2,1_15318_923,,0,1_302_I
1_302,1_923_231_13_302_2,1_15319_923,,0,1_302_I
1_302,1_923_231_13_302_2,1_15320_923,,0,1_302_I
1_302,1_923_231_13_302_2,1_15321_923,,0,1_302_I
1_302,1_923_231_13_302_2,1_15322_923,,0,1_302_I
1_302,1_923_231_13_302_2,1_15323_923,,0,1_302_I
1_302,1_923_231_13_302_2,1_15324_923,,0,1_302_I
1_302,1_923_231_13_302_2,1_15326_923,,0,1_302_I
1_302,1_923_231_13_302_2,1_15327_923,,0,1_302_I
1_302,1_923_231_13_302_2,1_15328_923,,0,1_302_I
1_300,1_922_232_13_300_1,1_15330_922,,1,1_300_V
1_300,1_922_232_13_300_1,1_15331_922,,1,1_300_V
1_300,1_922_232_13_300_1,1_15332_922,,1,1_300_V
1_300,1_922_232_13_300_1,1_15333_922,,1,1_300_V
1_300,1_922_232_13_300_1,1_15334_922,,1,1_300_V
1_300,1_922_232_13_300_1,1_15335_922,,1,1_300_V
1_300,1_922_232_13_300_1,1_15336_922,,1,1_300_V
1_300,1_922_232_13_300_1,1_15337_922,,1,1_300_V
1_300,1_922_232_13_300_1,1_15338_922,,1,1_300_V
1_300,1_922_232_13_300_1,1_15339_922,,1,1_300_V
1_300,1_922_232_13_300_1,1_15340_922,,1,1_300_V
1_300,1_922_232_13_300_1,1_15341_922,,0,1_300_I
1_300,1_922_232_13_300_1,1_15342_922,,0,1_300_I
1_300,1_922_232_13_300_1,1_15343_922,,0,1_300_I
1_300,1_922_232_13_300_1,1_15344_922,,0,1_300_I
